Name_old,BEZ,Name,ISO,Cumulative,Recovered,Dead,Cases,Population,Density,Date,Source,Quelle 2,Mortality,Lethality
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),08326,306,96,3,207,212381,1440,"2020-04-06, 22:34","https://www.lrasbk.de/Aktuelles/Neuigkeiten/Coronavirus-Gesundheitsamt-teilt-aktuelle-Zahlen-mit-Stand-05-04-2020-11-Uhr.php?object=tx,2961.5.1&ModID=7&FID=2961.13216.1&NavID=2961.1467&La=1","https://www.lrasbk.de/Aktuelles/Neuigkeiten/Drei-neue-Coronavirus-F%C3%A4lle-im-Schwarzwald-Baar-Kreis-Stand-20-03-2020-12-Uhr.php?object=tx,2961.5.1&ModID=7&FID=2961.13164.1&NavID=2961.1467&La=1",14,9
Tuttlingen,Landkreis,Tuttlingen (Landkreis),08327,299,34,5,260,140152,2133,"2020-04-06, 22:34",https://www.landkreis-tuttlingen.de/media/custom/2527_2185_1.PDF?1585843072,https://sozialministerium.baden-wuerttemberg.de/fileadmin/redaktion/m-sm/intern/bilder/03_Gesundheit/Coronavirus_Faelle-BW_Karte.jpg,35,16
Konstanz,Landkreis,Konstanz (Landkreis),08335,307,97,4,206,285325,1075,"2020-04-06, 22:34","https://www.lrakn.de/,Lde/service-und-verwaltung/aemter/gesundheit+und+versorgung/coronavirus","https://www.lrakn.de/,Lde/2757214",14,13
Lörrach,Landkreis,Lörrach (Landkreis),08336,406,140,15,251,228639,1775,"2020-04-06, 22:34",https://www.loerrach-landkreis.de/de/Service-Verwaltung/Fachbereiche/Gesundheit/Sachgebiete/Sachgebiet/Corona?skipEntranceUrl,https://www.loerrach-landkreis.de/aktuell?view=publish&item=article&id=3983,65,36
Waldshut,Landkreis,Waldshut (Landkreis),08337,190,67,9,114,170619,1113,"2020-04-06, 22:34",https://www.landkreis-waldshut.de/aktuelles/2020/190-covid-19-infizierte-im-landkreis-stand-sonntag-542020-16-uhr/,https://www.landkreis-waldshut.de/aktuelles/2020/28-bestaetigte-coronavirus-faelle-im-landkreis/,52,47
Reutlingen,Landkreis,Reutlingen (Landkreis),08415,711,233,14,464,286748,2479,"2020-04-06, 22:34","https://www.gea.de/reutlingen_artikel,-keine-probleme-am-bad-uracher-wasserfall-und-auf-der-eninger-weide-681-best%C3%A4tigte-corona-f%C3%A4lle-im-l-_arid,6250907.html","https://www.gea.de/reutlingen_artikel,-labore-v%C3%B6llig-%C3%BCberlastet-96-covid-19-f%C3%A4lle-im-kreis-reutlingen-und-144-im-kreis-t%C3%BCbingen-_arid,6241760.html",48,19
Tübingen,Landkreis,Tübingen (Landkreis),08416,980,130,14,836,227331,4310,"2020-04-06, 22:34","https://www.gea.de/reutlingen_artikel,-980-corona-f%C3%A4lle-und-ein-weiterer-todesfall-im-kreis-t%C3%BCbingenwochenend-bilanz-der-reutlinger-poliz-_arid,6250907.html","https://www.gea.de/reutlingen_artikel,-labore-v%C3%B6llig-%C3%BCberlastet-96-covid-19-f%C3%A4lle-im-kreis-reutlingen-und-144-im-kreis-t%C3%BCbingen-_arid,6241760.html",61,14
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),08417,567,95,19,453,188935,3001,"2020-04-06, 22:34",https://www.zollernalbkreis.de/aktuelles/nachrichten/antworten+auf+haeufig+gestellte+fragen+zum+neuartigen+coronavirus,https://www.zollernalbkreis.de/aktuelles/nachrichten/antworten+auf+haeufig+gestellte+fragen+zum+neuartigen+coronavirus,100,33
Ulm,Stadtkreis,Ulm (Stadtkreis),08421,196,0,1,195,126329,1551,"2020-04-06, 22:34",https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,7,5
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),08425,387,221,3,163,196047,1974,"2020-04-06, 22:34",https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,15,7
Biberach,Landkreis,Biberach (Landkreis),08426,338,0,4,334,199742,1692,"2020-04-06, 22:34",https://www.biberach.de/aktuelles/presse/pressemitteilungen-2020.html?L=0,,20,11
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),08435,238,180,5,53,216227,1100,"2020-04-06, 22:34",https://www.bodenseekreis.de/de/soziales-gesundheit/gesundheit/infektionsschutz/infektionskrankheiten/corona-virus/,,23,21
Ravensburg,Landkreis,Ravensburg (Landkreis),08436,417,115,4,298,284285,1466,"2020-04-06, 22:34",https://www.rv.de/Politik+_+Verwaltung/aktuelles+zum+coronavirus,https://sozialministerium.baden-wuerttemberg.de/fileadmin/redaktion/m-sm/intern/bilder/03_Gesundheit/Coronavirus_Faelle-BW_Karte.jpg,14,9
Sigmaringen,Landkreis,Sigmaringen (Landkreis),08437,541,207,16,318,130873,4133,"2020-04-06, 22:34",http://lrasig.maps.arcgis.com/apps/opsdashboard/index.html#/302d9754202c4d4896c0a1d6660cd676,https://www.landkreis-sigmaringen.de/de/Landratsamt/Kreisverwaltung/Fachbereiche/Gesundheit/Informationen-zum-neuartigen-Coronavirus,122,29
Ingolstadt,Kreisfreie Stadt,Ingolstadt (Kreisfreie Stadt),09161,215,51,4,160,136981,1569,"2020-04-06, 22:34",https://www.ingolstadt.de/Leben/Gesundheit/Infektionsschutz-Reisemedizin/Corona,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,29,18
München,Kreisfreie Stadt,München (Kreisfreie Stadt),09162,3794,1240,16,2538,1471508,2578,"2020-04-06, 22:34",https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,10,4
Rosenheim,Kreisfreie Stadt,Rosenheim (Kreisfreie Stadt),09163,198,35,4,159,63324,3126,"2020-04-06, 22:34",https://www.landkreis-rosenheim.de/Default.asp?rq_AppGuid=D53E3617FFC7C16729E9ABD3CE049BFAE5B2C888&rq_TargetPageGuid=868C21C44B5C21E6A7E5D94015AA8043B75FFA61&rq_RecId=33363736&rq_MenuGuid=81E6AF0753F9AC2FE91C86253937F9D94C472C26&rq_TemplateKey=73746167655F6170706D61696E&rq_Lang=de#{1}%7B1%7D%7B1%7D,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,63,20
Altötting,Landkreis,Altötting (Landkreis),09171,276,0,6,270,111210,2481,"2020-04-06, 22:34",https://www.lra-aoe.de/informationen-zu-corona/corona-das-gesundheitsamt-informiert,https://www.lra-aoe.de/informationen-zu-corona/corona-das-gesundheitsamt-informiert,53,21
Berchtesgadener Land,Landkreis,Berchtesgadener Land (Landkreis),09172,165,47,3,115,105722,1560,"2020-04-06, 22:34",https://www.pnp.de/lokales/berchtesgadener-land/165-bestaetigte-Coronafaelle-im-Landkreis-3653903.html,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///weitere-coronavirus-infektionen-im-landkreis-berchtesgadener-land/,28,18
Bad Tölz-Wolfratshausen,Landkreis,Bad Tölz-Wolfratshausen (Landkreis),09173,266,147,4,115,127227,2090,"2020-04-06, 22:34",https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,31,15
Dachau,Landkreis,Dachau (Landkreis),09174,514,67,9,438,153884,3340,"2020-04-06, 22:34",https://www.landratsamt-dachau.de/aktuelles/pressemitteilungen/zahl-der-infizierten-personen-im-landkreis-steigt-kontinuierlich-aktuell-500-index-faelle-im-landkreis-stand-05042020-1700-uhr/,https://www.landratsamt-dachau.de/aktuelles/pressemitteilungen/weitere-umfassende-einschraenkungen-im-oeffentlichen-leben-aktuell-63-infizierte-personen-im-landkreis-stand-freitag-20032020-1800-uhr/,58,17
Ebersberg,Landkreis,Ebersberg (Landkreis),09175,282,132,1,149,142142,1983,"2020-04-06, 22:34",https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,7,3
Eichstätt,Landkreis,Eichstätt (Landkreis),09176,120,0,3,117,132341,906,"2020-04-06, 22:34",https://www.landkreis-eichstaett.de/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,22,25
Erding,Landkreis,Erding (Landkreis),09177,420,118,3,299,137660,3050,"2020-04-06, 22:34",https://www.landkreis-erding.de/aktuell/pressemitteilungen/corona-virus-im-landkreis-erding-sachstand-05042020/,https://www.landkreis-erding.de/aktuell/pressemitteilungen/corona-virus-im-landkreis-erding-sachstand-19032020/,21,7
Freising,Landkreis,Freising (Landkreis),09178,678,300,14,364,179116,3785,"2020-04-06, 22:34",https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,78,20
Fürstenfeldbruck,Landkreis,Fürstenfeldbruck (Landkreis),09179,522,90,7,425,219320,2380,"2020-04-06, 22:34",https://www.lra-ffb.de/amt-service/veroeffentlichungen/pressemitteilungen/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,31,13
Garmisch-Partenkirchen,Landkreis,Garmisch-Partenkirchen (Landkreis),09180,182,0,1,181,88467,2057,"2020-04-06, 22:34",https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,https://www.lra-gap.de/de/coronavirus.html,11,5
Landsberg am Lech,Landkreis,Landsberg am Lech (Landkreis),09181,217,0,4,213,120071,1807,"2020-04-06, 22:34",https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,33,18
Miesbach,Landkreis,Miesbach (Landkreis),09182,418,150,3,265,99726,4191,"2020-04-06, 22:34",auch hier wohl nichts mehr neues,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,30,7
Mühldorf a. Inn,Landkreis,Mühldorf a. Inn (Landkreis),09183,281,12,5,264,115250,2438,"2020-04-06, 22:34",https://www.lra-mue.de/buergerservice/pressestelle/pressemitteilungen-2020.html,https://www.lra-mue.de/asset/D7A750AD-5CFE-4DEA-A41CF8E3F4C2692C/,43,17
München,Landkreis,München (Landkreis),09184,904,378,10,516,348871,2591,"2020-04-06, 22:34",https://www.landkreis-muenchen.de/themen/verbraucherschutz-gesundheit/gesundheit/coronavirus/fallzahlen/,https://www.landkreis-muenchen.de/themen/verbraucherschutz-gesundheit/gesundheit/coronavirus/,28,11
Neuburg-Schrobenhausen,Landkreis,Neuburg-Schrobenhausen (Landkreis),09185,124,46,3,75,96680,1282,"2020-04-06, 22:34",https://neuburg-schrobenhausen.de/informationen-zum-coronavirus?suche=,https://neuburg-schrobenhausen.de/informationen-zum-coronavirus?suche=,31,24
Pfaffenhofen a.d. Ilm,Landkreis,Pfaffenhofen a.d. Ilm (Landkreis),09186,211,71,4,136,127151,1659,"2020-04-06, 22:34",https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,https://www.landkreis-pfaffenhofen.de/HOME/Aktuelles/AlleMeldungen.aspx?rssid=0cc4a06e-43b3-482f-89f6-6c046c29fc8f,31,18
Rosenheim,Landkreis,Rosenheim (Landkreis),09187,1189,47,31,1111,260983,4555,"2020-04-06, 22:34",https://www.landkreis-rosenheim.de/Default.asp?rq_AppGuid=D53E3617FFC7C16729E9ABD3CE049BFAE5B2C888&rq_TargetPageGuid=868C21C44B5C21E6A7E5D94015AA8043B75FFA61&rq_RecId=33363736&rq_MenuGuid=81E6AF0753F9AC2FE91C86253937F9D94C472C26&rq_TemplateKey=73746167655F6170706D61696E&rq_Lang=de#{1}%7B1%7D%7B1%7D,https://www.landkreis-rosenheim.de/#{2},118,26
